"","Family","Species","Trait","Value","Source","Trait_original"
"566","Colubridae","Platyceps najadum","Substrate","Terrestrial","RepT","Microhabitat"
"567","Lacertidae","Podarcis bocagei","Active_period","Diurnal","RepT","Active time"
"568","Lacertidae","Podarcis bocagei","BodyMass_max_g","7.9432823470000002","RepT","Maximum body mass (g)"
"569","Lacertidae","Podarcis bocagei","BodyTemp_mean","32.299999999999997","RepT","Mean Tb"
"570","Lacertidae","Podarcis bocagei","Brood_per_year","2.5","RepT","Number of litters or clutches produced per year"
"571","Lacertidae","Podarcis bocagei","Clutch_mean","3.4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"572","Lacertidae","Podarcis bocagei","Diet","Carnivorous","RepT","Diet"
"573","Lacertidae","Podarcis bocagei","First_breeding_m","16","SqB","first_breeding_months"
"574","Lacertidae","Podarcis bocagei","Limbs","4 well developed limbs","SqB","Limbs"
"575","Lacertidae","Podarcis bocagei","Longevity_y","7","RepT","Maximum Longevity (years)"
"576","Lacertidae","Podarcis bocagei","SVL_mm_max","70","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"577","Lacertidae","Podarcis bocagei","Substrate","Terrestrial","RepT","Microhabitat"
"578","Lacertidae","Podarcis carbonelli","Active_period","Diurnal","RepT","Active time"
"579","Lacertidae","Podarcis carbonelli","BodyMass_max_g","6.4565422899999998","RepT","Maximum body mass (g)"
"580","Lacertidae","Podarcis carbonelli","BodyTemp_mean","33.299999999999997","RepT","Mean Tb"
"581","Lacertidae","Podarcis carbonelli","Brood_per_year","2","AMN","litters_or_clutches_per_y"
"582","Lacertidae","Podarcis carbonelli","Clutch_mean","2.15","RepT","Mean number of offspring per litter or number of eggs per clutch"
"583","Lacertidae","Podarcis carbonelli","Diet","Carnivorous","RepT","Diet"
"584","Lacertidae","Podarcis carbonelli","Limbs","4 well developed limbs","SqB","Limbs"
"585","Lacertidae","Podarcis carbonelli","Longevity_y","3","AMN","maximum_longevity_y"
"586","Lacertidae","Podarcis carbonelli","SVL_mm_max","65","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"587","Lacertidae","Podarcis carbonelli","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"588","Lacertidae","Podarcis cretensis","Active_period","Diurnal","RepT","Active time"
"589","Lacertidae","Podarcis cretensis","BodyMass_max_g","8.5113803820000005","RepT","Maximum body mass (g)"
"590","Lacertidae","Podarcis cretensis","BodyTemp_mean","33.200000000000003","RepT","Mean Tb"
"591","Lacertidae","Podarcis cretensis","Brood_per_year","2","SqB","Yearly_broods"
"592","Lacertidae","Podarcis cretensis","Clutch_mean","3.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"593","Lacertidae","Podarcis cretensis","Diet","Carnivorous","RepT","Diet"
"594","Lacertidae","Podarcis cretensis","Limbs","4 well developed limbs","SqB","Limbs"
"595","Lacertidae","Podarcis cretensis","SVL_mm_max","71.5","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"596","Lacertidae","Podarcis cretensis","Substrate","Terrestrial","RepT","Microhabitat"
"597","Lacertidae","Podarcis erhardii","Active_period","Diurnal","RepT","Active time"
"598","Lacertidae","Podarcis erhardii","Activity_season_m","11","SqB","Length_Activity_Season"
"599","Lacertidae","Podarcis erhardii","BodyMass_max_g","13.80384265","RepT","Maximum body mass (g)"
"600","Lacertidae","Podarcis erhardii","BodyTemp_mean","33.450000000000003","RepT","Mean Tb"
"601","Lacertidae","Podarcis erhardii","Brood_per_year","2","RepT","Number of litters or clutches produced per year"
"602","Lacertidae","Podarcis erhardii","Clutch_mean","2.5300000000000002","RepT","Mean number of offspring per litter or number of eggs per clutch"
"603","Lacertidae","Podarcis erhardii","Diet","Carnivorous","RepT","Diet"
"604","Lacertidae","Podarcis erhardii","First_breeding_m","10.5","SqB","first_breeding_months"
"605","Lacertidae","Podarcis erhardii","Limbs","4 well developed limbs","SqB","Limbs"
"606","Lacertidae","Podarcis erhardii","Longevity_y","5","RepT","Maximum Longevity (years)"
"607","Lacertidae","Podarcis erhardii","SVL_mm_max","84","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"608","Lacertidae","Podarcis erhardii","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"609","Lacertidae","Podarcis filfolensis","Active_period","Diurnal","RepT","Active time"
"610","Lacertidae","Podarcis filfolensis","Activity_season_m","12","SqB","Length_Activity_Season"
"611","Lacertidae","Podarcis filfolensis","BodyMass_max_g","14.79108388","RepT","Maximum body mass (g)"
"612","Lacertidae","Podarcis filfolensis","BodyTemp_mean","32.799999999999997","RepT","Mean Tb"
"613","Lacertidae","Podarcis filfolensis","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"614","Lacertidae","Podarcis filfolensis","Clutch_mean","2.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"615","Lacertidae","Podarcis filfolensis","Diet","Omnivorous","RepT","Diet"
"616","Lacertidae","Podarcis filfolensis","Limbs","4 well developed limbs","SqB","Limbs"
"617","Lacertidae","Podarcis filfolensis","Longevity_y","2.8","RepT","Maximum Longevity (years)"
"618","Lacertidae","Podarcis filfolensis","SVL_mm_max","86","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"619","Lacertidae","Podarcis filfolensis","Substrate","Saxicolous","RepT","Microhabitat"
"620","Lacertidae","Podarcis gaigeae","Active_period","Diurnal","RepT","Active time"
"621","Lacertidae","Podarcis gaigeae","Activity_season_m","12","SqB","Length_Activity_Season"
"622","Lacertidae","Podarcis gaigeae","BodyMass_max_g","22.908676530000001","RepT","Maximum body mass (g)"
"623","Lacertidae","Podarcis gaigeae","BodyTemp_mean","32.599999999999994","RepT","Mean Tb"
"624","Lacertidae","Podarcis gaigeae","Brood_per_year","2.5","RepT","Number of litters or clutches produced per year"
"625","Lacertidae","Podarcis gaigeae","Clutch_mean","2.4699999999999998","RepT","Mean number of offspring per litter or number of eggs per clutch"
"626","Lacertidae","Podarcis gaigeae","Diet","Carnivorous","RepT","Diet"
"627","Lacertidae","Podarcis gaigeae","First_breeding_m","11","SqB","first_breeding_months"
"628","Lacertidae","Podarcis gaigeae","Limbs","4 well developed limbs","SqB","Limbs"
"629","Lacertidae","Podarcis gaigeae","Longevity_y","5","RepT","Maximum Longevity (years)"
"630","Lacertidae","Podarcis gaigeae","SVL_mm_max","100","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"631","Lacertidae","Podarcis gaigeae","Substrate","Terrestrial","RepT","Microhabitat"
"632","Lacertidae","Podarcis hispanicus","Active_period","Diurnal","RepT","Active time"
"633","Lacertidae","Podarcis hispanicus","BodyMass_max_g","9.332543008","RepT","Maximum body mass (g)"
"634","Lacertidae","Podarcis hispanicus","BodyTemp_mean","31.9","RepT","Mean Tb"
"635","Lacertidae","Podarcis hispanicus","Brood_per_year","3","RepT","Number of litters or clutches produced per year"
"636","Lacertidae","Podarcis hispanicus","Clutch_mean","2.85","RepT","Mean number of offspring per litter or number of eggs per clutch"
"637","Lacertidae","Podarcis hispanicus","Diet","Omnivorous","RepT","Diet"
"638","Lacertidae","Podarcis hispanicus","First_breeding_m","8","SqB","first_breeding_months"
"639","Lacertidae","Podarcis hispanicus","Limbs","4 well developed limbs","SqB","Limbs"
"640","Lacertidae","Podarcis hispanicus","Longevity_y","13","RepT","Maximum Longevity (years)"
"641","Lacertidae","Podarcis hispanicus","SVL_mm_max","74","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"642","Lacertidae","Podarcis hispanicus","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"643","Lacertidae","Podarcis levendis","Active_period","Diurnal","RepT","Active time"
"644","Lacertidae","Podarcis levendis","BodyMass_max_g","11.48153621","RepT","Maximum body mass (g)"
"645","Lacertidae","Podarcis levendis","BodyTemp_mean","33.200000000000003","RepT","Mean Tb"
"646","Lacertidae","Podarcis levendis","Clutch_mean","2.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"647","Lacertidae","Podarcis levendis","Diet","Omnivorous","RepT","Diet"
"648","Lacertidae","Podarcis levendis","Limbs","4 well developed limbs","SqB","Limbs"
"649","Lacertidae","Podarcis levendis","SVL_mm_max","79","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"650","Lacertidae","Podarcis levendis","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"651","Lacertidae","Podarcis lilfordi","Active_period","Diurnal","RepT","Active time"
"652","Lacertidae","Podarcis lilfordi","BodyMass_max_g","12.302687710000001","RepT","Maximum body mass (g)"
"653","Lacertidae","Podarcis lilfordi","BodyTemp_mean","34.6","RepT","Mean Tb"
"654","Lacertidae","Podarcis lilfordi","Brood_per_year","2.5","RepT","Number of litters or clutches produced per year"
"655","Lacertidae","Podarcis lilfordi","Clutch_mean","2.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"656","Lacertidae","Podarcis lilfordi","Diet","Omnivorous","RepT","Diet"
"657","Lacertidae","Podarcis lilfordi","First_breeding_m","21","SqB","first_breeding_months"
"658","Lacertidae","Podarcis lilfordi","Limbs","4 well developed limbs","SqB","Limbs"
"659","Lacertidae","Podarcis lilfordi","Longevity_y","13.11","RepT","Maximum Longevity (years)"
"660","Lacertidae","Podarcis lilfordi","SVL_mm_max","81","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"661","Lacertidae","Podarcis lilfordi","Substrate","Terrestrial","RepT","Microhabitat"
"662","Lacertidae","Podarcis melisellensis","Active_period","Diurnal","RepT","Active time"
"663","Lacertidae","Podarcis melisellensis","Activity_season_m","9.5","SqB","Length_Activity_Season"
"664","Lacertidae","Podarcis melisellensis","BodyMass_max_g","9.332543008","RepT","Maximum body mass (g)"
"665","Lacertidae","Podarcis melisellensis","BodyTemp_mean","32.450000000000003","RepT","Mean Tb"
"666","Lacertidae","Podarcis melisellensis","Brood_per_year","3","RepT","Number of litters or clutches produced per year"
"667","Lacertidae","Podarcis melisellensis","Clutch_mean","4.25","RepT","Mean number of offspring per litter or number of eggs per clutch"
"668","Lacertidae","Podarcis melisellensis","Diet","Carnivorous","RepT","Diet"
"669","Lacertidae","Podarcis melisellensis","First_breeding_m","12","SqB","first_breeding_months"
"670","Lacertidae","Podarcis melisellensis","Limbs","4 well developed limbs","SqB","Limbs"
"671","Lacertidae","Podarcis melisellensis","Longevity_y","3.9","RepT","Maximum Longevity (years)"
"672","Lacertidae","Podarcis melisellensis","SVL_mm_max","74","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"673","Lacertidae","Podarcis melisellensis","Substrate","Terrestrial","RepT","Microhabitat"
"674","Lacertidae","Podarcis milensis","Active_period","Diurnal","RepT","Active time"
"675","Lacertidae","Podarcis milensis","Activity_season_m","12","SqB","Length_Activity_Season"
"676","Lacertidae","Podarcis milensis","BodyMass_max_g","9.7723722100000003","RepT","Maximum body mass (g)"
"677","Lacertidae","Podarcis milensis","BodyTemp_mean","32.950000000000003","RepT","Mean Tb"
"678","Lacertidae","Podarcis milensis","Brood_per_year","1.4","AMN","litters_or_clutches_per_y"
"679","Lacertidae","Podarcis milensis","Clutch_mean","1.73","RepT","Mean number of offspring per litter or number of eggs per clutch"
"680","Lacertidae","Podarcis milensis","Diet","Carnivorous","RepT","Diet"
"681","Lacertidae","Podarcis milensis","Limbs","4 well developed limbs","SqB","Limbs"
"682","Lacertidae","Podarcis milensis","SVL_mm_max","75","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"683","Lacertidae","Podarcis milensis","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"684","Lacertidae","Podarcis muralis","Active_period","Diurnal","RepT","Active time"
"685","Lacertidae","Podarcis muralis","Activity_season_m","8","SqB","Length_Activity_Season"
"686","Lacertidae","Podarcis muralis","BodyMass_max_g","10.96478196","RepT","Maximum body mass (g)"
"687","Lacertidae","Podarcis muralis","BodyTemp_mean","32.200000000000003","RepT","Mean Tb"
"688","Lacertidae","Podarcis muralis","Brood_per_year","2","RepT","Number of litters or clutches produced per year"
"689","Lacertidae","Podarcis muralis","Clutch_mean","4.93","RepT","Mean number of offspring per litter or number of eggs per clutch"
"690","Lacertidae","Podarcis muralis","Diet","Carnivorous","RepT","Diet"
"691","Lacertidae","Podarcis muralis","First_breeding_m","30","SqB","first_breeding_months"
"692","Lacertidae","Podarcis muralis","Limbs","4 well developed limbs","SqB","Limbs"
"693","Lacertidae","Podarcis muralis","Longevity_y","16","RepT","Maximum Longevity (years)"
"694","Lacertidae","Podarcis muralis","SVL_mm_max","78","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"695","Lacertidae","Podarcis muralis","Substrate","Arboreal/Saxicolous","RepT","Microhabitat"
"696","Lacertidae","Podarcis peloponnesiacus","Active_period","Diurnal","RepT","Active time"
"697","Lacertidae","Podarcis peloponnesiacus","Activity_season_m","8","SqB","Length_Activity_Season"
"698","Lacertidae","Podarcis peloponnesiacus","BodyMass_max_g","14.12537545","RepT","Maximum body mass (g)"
"699","Lacertidae","Podarcis peloponnesiacus","BodyTemp_mean","33","RepT","Mean Tb"
"700","Lacertidae","Podarcis peloponnesiacus","Brood_per_year","1.7","AMN","litters_or_clutches_per_y"
"701","Lacertidae","Podarcis peloponnesiacus","Clutch_mean","3.48","RepT","Mean number of offspring per litter or number of eggs per clutch"
"702","Lacertidae","Podarcis peloponnesiacus","Diet","Carnivorous","RepT","Diet"
"703","Lacertidae","Podarcis peloponnesiacus","Limbs","4 well developed limbs","SqB","Limbs"
"704","Lacertidae","Podarcis peloponnesiacus","SVL_mm_max","85","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"705","Lacertidae","Podarcis peloponnesiacus","Substrate","Arboreal/Saxicolous/Terrestrial","RepT","Microhabitat"
"706","Lacertidae","Podarcis pityusensis","Active_period","Diurnal","RepT","Active time"
"707","Lacertidae","Podarcis pityusensis","Activity_season_m","12","SqB","Length_Activity_Season"
"708","Lacertidae","Podarcis pityusensis","BodyMass_max_g","12.58925412","RepT","Maximum body mass (g)"
"709","Lacertidae","Podarcis pityusensis","BodyTemp_mean","34.200000000000003","RepT","Mean Tb"
"710","Lacertidae","Podarcis pityusensis","Brood_per_year","3","RepT","Number of litters or clutches produced per year"
"711","Lacertidae","Podarcis pityusensis","Clutch_mean","2.65","RepT","Mean number of offspring per litter or number of eggs per clutch"
"712","Lacertidae","Podarcis pityusensis","Diet","Omnivorous","RepT","Diet"
"713","Lacertidae","Podarcis pityusensis","First_breeding_m","21","SqB","first_breeding_months"
"714","Lacertidae","Podarcis pityusensis","Limbs","4 well developed limbs","SqB","Limbs"
"715","Lacertidae","Podarcis pityusensis","Longevity_y","18","RepT","Maximum Longevity (years)"
"716","Lacertidae","Podarcis pityusensis","SVL_mm_max","82","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"717","Lacertidae","Podarcis pityusensis","Substrate","Arboreal/Saxicolous/Terrestrial","RepT","Microhabitat"
"718","Lacertidae","Podarcis raffonei","Active_period","Diurnal","RepT","Active time"
"719","Lacertidae","Podarcis raffonei","Activity_season_m","12","SqB","Length_Activity_Season"
"720","Lacertidae","Podarcis raffonei","BodyMass_max_g","14.12538","RepT","Maximum body mass (g)"
"721","Lacertidae","Podarcis raffonei","BodyTemp_mean","33.95","SqB","Averge_body_temperature"
"722","Lacertidae","Podarcis raffonei","Brood_per_year","1.5","SqB","Yearly_broods"
"723","Lacertidae","Podarcis raffonei","Clutch_mean","6","RepT","Mean number of offspring per litter or number of eggs per clutch"
"724","Lacertidae","Podarcis raffonei","Diet","Carnivorous","RepT","Diet"
"725","Lacertidae","Podarcis raffonei","Limbs","4 well developed limbs","SqB","Limbs"
"726","Lacertidae","Podarcis raffonei","SVL_mm_max","85","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"727","Lacertidae","Podarcis raffonei","Substrate","Saxicolous","RepT","Microhabitat"
"728","Lacertidae","Podarcis siculus","Active_period","Diurnal","RepT","Active time"
"729","Lacertidae","Podarcis siculus","Activity_season_m","9.25","SqB","Length_Activity_Season"
"730","Lacertidae","Podarcis siculus","BodyMass_max_g","16.595869069999999","RepT","Maximum body mass (g)"
"731","Lacertidae","Podarcis siculus","BodyTemp_mean","33.25","RepT","Mean Tb"
"732","Lacertidae","Podarcis siculus","Brood_per_year","3","RepT","Number of litters or clutches produced per year"
"733","Lacertidae","Podarcis siculus","Clutch_mean","5.7","RepT","Mean number of offspring per litter or number of eggs per clutch"
"734","Lacertidae","Podarcis siculus","Diet","Omnivorous","RepT","Diet"
"735","Lacertidae","Podarcis siculus","First_breeding_m","12","SqB","first_breeding_months"
"736","Lacertidae","Podarcis siculus","Limbs","4 well developed limbs","SqB","Limbs"
"737","Lacertidae","Podarcis siculus","Longevity_y","13","RepT","Maximum Longevity (years)"
"738","Lacertidae","Podarcis siculus","SVL_mm_max","90","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"739","Lacertidae","Podarcis siculus","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"740","Lacertidae","Podarcis tauricus","Active_period","Diurnal","RepT","Active time"
"741","Lacertidae","Podarcis tauricus","Activity_season_m","6.5","SqB","Length_Activity_Season"
"742","Lacertidae","Podarcis tauricus","BodyMass_max_g","17.37800829","RepT","Maximum body mass (g)"
"743","Lacertidae","Podarcis tauricus","BodyTemp_mean","29.900000000000002","RepT","Mean Tb"
"744","Lacertidae","Podarcis tauricus","Brood_per_year","1.85","AMN","litters_or_clutches_per_y"
"745","Lacertidae","Podarcis tauricus","Clutch_mean","4.7850000000000001","RepT","Mean number of offspring per litter or number of eggs per clutch"
"746","Lacertidae","Podarcis tauricus","Diet","Carnivorous","RepT","Diet"
"747","Lacertidae","Podarcis tauricus","First_breeding_m","27.5","SqB","first_breeding_months"
"748","Lacertidae","Podarcis tauricus","Limbs","4 well developed limbs","SqB","Limbs"
"749","Lacertidae","Podarcis tauricus","Longevity_y","10","RepT","Maximum Longevity (years)"
"750","Lacertidae","Podarcis tauricus","SVL_mm_max","91","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"751","Lacertidae","Podarcis tauricus","Substrate","Terrestrial","RepT","Microhabitat"
"752","Lacertidae","Podarcis tiliguerta","Active_period","Diurnal","RepT","Active time"
"753","Lacertidae","Podarcis tiliguerta","Activity_season_m","9.5","SqB","Length_Activity_Season"
"754","Lacertidae","Podarcis tiliguerta","BodyMass_max_g","15.135612480000001","RepT","Maximum body mass (g)"
"755","Lacertidae","Podarcis tiliguerta","BodyTemp_mean","29.8","RepT","Mean Tb"
"756","Lacertidae","Podarcis tiliguerta","Brood_per_year","2","AMN","litters_or_clutches_per_y"
"757","Lacertidae","Podarcis tiliguerta","Clutch_mean","9","RepT","Mean number of offspring per litter or number of eggs per clutch"
"758","Lacertidae","Podarcis tiliguerta","Diet","Carnivorous","RepT","Diet"
"759","Lacertidae","Podarcis tiliguerta","Limbs","4 well developed limbs","SqB","Limbs"
"760","Lacertidae","Podarcis tiliguerta","Longevity_y","15","RepT","Maximum Longevity (years)"
"761","Lacertidae","Podarcis tiliguerta","SVL_mm_max","87","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"762","Lacertidae","Podarcis tiliguerta","Substrate","Saxicolous","RepT","Microhabitat"
"763","Lacertidae","Podarcis waglerianus","Active_period","Diurnal","RepT","Active time"
"764","Lacertidae","Podarcis waglerianus","Activity_season_m","9.5","SqB","Length_Activity_Season"
"765","Lacertidae","Podarcis waglerianus","BodyMass_max_g","10.23292992","RepT","Maximum body mass (g)"
"766","Lacertidae","Podarcis waglerianus","Brood_per_year","1.4","AMN","litters_or_clutches_per_y"
"767","Lacertidae","Podarcis waglerianus","Clutch_mean","4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"768","Lacertidae","Podarcis waglerianus","Diet","Carnivorous","RepT","Diet"
"769","Lacertidae","Podarcis waglerianus","Limbs","4 well developed limbs","SqB","Limbs"
"770","Lacertidae","Podarcis waglerianus","SVL_mm_max","76","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"771","Lacertidae","Podarcis waglerianus","Substrate","Terrestrial","RepT","Microhabitat"
"772","Lacertidae","Psammodromus algirus","Active_period","Diurnal","RepT","Active time"
"773","Lacertidae","Psammodromus algirus","Activity_season_m","10.5","SqB","Length_Activity_Season"
"774","Lacertidae","Psammodromus algirus","BodyMass_max_g","19.498446000000001","RepT","Maximum body mass (g)"
"775","Lacertidae","Psammodromus algirus","BodyTemp_mean","32.75","RepT","Mean Tb"
"776","Lacertidae","Psammodromus algirus","Brood_per_year","2","RepT","Number of litters or clutches produced per year"
"777","Lacertidae","Psammodromus algirus","Clutch_mean","5.35","RepT","Mean number of offspring per litter or number of eggs per clutch"
"778","Lacertidae","Psammodromus algirus","Diet","Omnivorous","RepT","Diet"
"779","Lacertidae","Psammodromus algirus","First_breeding_m","12.5","SqB","first_breeding_months"
"780","Lacertidae","Psammodromus algirus","Limbs","4 well developed limbs","SqB","Limbs"
"781","Lacertidae","Psammodromus algirus","Longevity_y","5","RepT","Maximum Longevity (years)"
"782","Lacertidae","Psammodromus algirus","SVL_mm_max","95","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"783","Lacertidae","Psammodromus algirus","Substrate","Arboreal/Saxicolous/Terrestrial","RepT","Microhabitat"
"784","Lacertidae","Psammodromus hispanicus","Active_period","Diurnal","RepT","Active time"
"785","Lacertidae","Psammodromus hispanicus","BodyMass_max_g","4.168693835","RepT","Maximum body mass (g)"
"786","Lacertidae","Psammodromus hispanicus","BodyTemp_mean","30.75","RepT","Mean Tb"
"787","Lacertidae","Psammodromus hispanicus","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"788","Lacertidae","Psammodromus hispanicus","Clutch_mean","3.25","RepT","Mean number of offspring per litter or number of eggs per clutch"
"789","Lacertidae","Psammodromus hispanicus","Diet","Carnivorous","RepT","Diet"
"790","Lacertidae","Psammodromus hispanicus","First_breeding_m","5","SqB","first_breeding_months"
"791","Lacertidae","Psammodromus hispanicus","Limbs","4 well developed limbs","SqB","Limbs"
"792","Lacertidae","Psammodromus hispanicus","Longevity_y","0.91666666666666663","RepT","Maximum Longevity (years)"
"793","Lacertidae","Psammodromus hispanicus","SVL_mm_max","56","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"794","Lacertidae","Psammodromus hispanicus","Substrate","Terrestrial","RepT","Microhabitat"
"795","Anguidae","Pseudopus apodus","Active_period","Diurnal","RepT","Active time"
"796","Anguidae","Pseudopus apodus","Activity_season_m","7.5","SqB","Length_Activity_Season"
"797","Anguidae","Pseudopus apodus","BodyMass_max_g","588.84365539999999","RepT","Maximum body mass (g)"
"798","Anguidae","Pseudopus apodus","BodyTemp_mean","23.450000000000003","RepT","Mean Tb"
"799","Anguidae","Pseudopus apodus","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"800","Anguidae","Pseudopus apodus","Clutch_mean","8.65","RepT","Mean number of offspring per litter or number of eggs per clutch"
"801","Anguidae","Pseudopus apodus","Diet","Carnivorous","RepT","Diet"
"802","Anguidae","Pseudopus apodus","First_breeding_m","24.3333333333333","AMN","female_maturity_m"
"803","Anguidae","Pseudopus apodus","Limbs","limbless","SqB","Limbs"
"804","Anguidae","Pseudopus apodus","Longevity_y","54","RepT","Maximum Longevity (years)"
"805","Anguidae","Pseudopus apodus","SVL_mm_max","580","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"806","Anguidae","Pseudopus apodus","Substrate","Terrestrial","RepT","Microhabitat"
"807","Colubridae","Rhinechis scalaris","BodyMass_max_g","1587","AMN","adult_body_mass_g"
"808","Colubridae","Rhinechis scalaris","Clutch_mean","10","AMN","litter_or_clutch_size_n"
"809","Phyllodactylidae","Tarentola mauritanica","Active_period","Cathemeral","RepT","Active time"
"810","Phyllodactylidae","Tarentola mauritanica","Activity_season_m","12","SqB","Length_Activity_Season"
"811","Phyllodactylidae","Tarentola mauritanica","BodyMass_max_g","16.595869069999999","RepT","Maximum body mass (g)"
"812","Phyllodactylidae","Tarentola mauritanica","BodyTemp_mean","22.6","RepT","Mean Tb"
"813","Phyllodactylidae","Tarentola mauritanica","Brood_per_year","8.5","RepT","Number of litters or clutches produced per year"
"814","Phyllodactylidae","Tarentola mauritanica","Clutch_mean","2","RepT","Mean number of offspring per litter or number of eggs per clutch"
"815","Phyllodactylidae","Tarentola mauritanica","Diet","Carnivorous","RepT","Diet"
"816","Phyllodactylidae","Tarentola mauritanica","First_breeding_m","36","SqB","first_breeding_months"
"817","Phyllodactylidae","Tarentola mauritanica","Limbs","4 well developed limbs","SqB","Limbs"
"818","Phyllodactylidae","Tarentola mauritanica","Longevity_y","14","RepT","Maximum Longevity (years)"
"819","Phyllodactylidae","Tarentola mauritanica","SVL_mm_max","86","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"820","Phyllodactylidae","Tarentola mauritanica","Substrate","Arboreal/Saxicolous","RepT","Microhabitat"
"821","Colubridae","Telescopus fallax","Active_period","Nocturnal","RepT","Active time"
"822","Colubridae","Telescopus fallax","BodyMass_max_g","186.22629370000001","RepT","Maximum body mass (g)"
"823","Colubridae","Telescopus fallax","Brood_per_year","1","SqB","Yearly_broods"
"824","Colubridae","Telescopus fallax","Clutch_mean","6.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"825","Colubridae","Telescopus fallax","Diet","Carnivorous","SqB","Diet"
"826","Colubridae","Telescopus fallax","Limbs","limbless","SqB","Limbs"
"827","Colubridae","Telescopus fallax","Longevity_y","10","RepT","Maximum Longevity (years)"
"828","Colubridae","Telescopus fallax","SVL_mm_max","488","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"829","Colubridae","Telescopus fallax","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"830","Testudinidae","Testudo graeca","Active_period","Diurnal","RepT","Active time"
"831","Testudinidae","Testudo graeca","BodyMass_max_g","4981","RepT","Maximum body mass (g)"
"832","Testudinidae","Testudo graeca","BodyTemp_mean","28","RepT","Mean Tb"
"833","Testudinidae","Testudo graeca","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"834","Testudinidae","Testudo graeca","Clutch_mean","5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"835","Testudinidae","Testudo graeca","Diet","Herbivorous","RepT","Diet"
"836","Testudinidae","Testudo graeca","First_breeding_m","153.5","AMN","female_maturity_m"
"837","Testudinidae","Testudo graeca","Longevity_y","116","RepT","Maximum Longevity (years)"
"838","Testudinidae","Testudo graeca","SVL_mm_max","185","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"839","Testudinidae","Testudo graeca","Substrate","Terrestrial","RepT","Microhabitat"
"840","Testudinidae","Testudo hermanni","Active_period","Cathemeral","RepT","Active time"
"841","Testudinidae","Testudo hermanni","BodyMass_max_g","7363","RepT","Maximum body mass (g)"
"842","Testudinidae","Testudo hermanni","BodyTemp_mean","30","RepT","Mean Tb"
"843","Testudinidae","Testudo hermanni","Brood_per_year","3","RepT","Number of litters or clutches produced per year"
"844","Testudinidae","Testudo hermanni","Clutch_mean","4.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"845","Testudinidae","Testudo hermanni","Diet","Herbivorous","RepT","Diet"
"846","Testudinidae","Testudo hermanni","First_breeding_m","155","AMN","female_maturity_m"
"847","Testudinidae","Testudo hermanni","Longevity_y","127","RepT","Maximum Longevity (years)"
