"","Family","Species","Trait","Value","Source","Trait_original"
"100","Lacertidae","Archaeolacerta bedriagae","Longevity_y","3","AMN","maximum_longevity_y"
"101","Lacertidae","Archaeolacerta bedriagae","SVL_mm_max","84","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"102","Lacertidae","Archaeolacerta bedriagae","Substrate","Saxicolous","RepT","Microhabitat"
"103","Blanidae","Blanus cinereus","Active_period","Cathemeral","RepT","Active time"
"104","Blanidae","Blanus cinereus","BodyMass_max_g","16.595869069999999","RepT","Maximum body mass (g)"
"105","Blanidae","Blanus cinereus","BodyTemp_mean","22.8","RepT","Mean Tb"
"106","Blanidae","Blanus cinereus","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"107","Blanidae","Blanus cinereus","Clutch_mean","2","RepT","Mean number of offspring per litter or number of eggs per clutch"
"108","Blanidae","Blanus cinereus","Diet","Omnivorous","RepT","Diet"
"109","Blanidae","Blanus cinereus","Limbs","limbless","SqB","Limbs"
"110","Blanidae","Blanus cinereus","Longevity_y","16","RepT","Maximum Longevity (years)"
"111","Blanidae","Blanus cinereus","SVL_mm_max","254","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"112","Blanidae","Blanus cinereus","Substrate","Fossorial","RepT","Microhabitat"
"113","Scincidae","Chalcides bedriagai","Active_period","Diurnal","RepT","Active time"
"114","Scincidae","Chalcides bedriagai","Activity_season_m","8.5","SqB","Length_Activity_Season"
"115","Scincidae","Chalcides bedriagai","BodyMass_max_g","19.952623150000001","RepT","Maximum body mass (g)"
"116","Scincidae","Chalcides bedriagai","BodyTemp_mean","28.5","RepT","Mean Tb"
"117","Scincidae","Chalcides bedriagai","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"118","Scincidae","Chalcides bedriagai","Clutch_mean","2.4350000000000001","RepT","Mean number of offspring per litter or number of eggs per clutch"
"119","Scincidae","Chalcides bedriagai","Diet","Carnivorous","RepT","Diet"
"120","Scincidae","Chalcides bedriagai","Limbs","4 well developed limbs","SqB","Limbs"
"121","Scincidae","Chalcides bedriagai","SVL_mm_max","97.8","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"122","Scincidae","Chalcides bedriagai","Substrate","Fossorial","RepT","Microhabitat"
"123","Scincidae","Chalcides chalcides","Active_period","Cathemeral","RepT","Active time"
"124","Scincidae","Chalcides chalcides","Activity_season_m","6","SqB","Length_Activity_Season"
